School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Colegio Público Rosa Luxemburgo,CALLE BARDEGUERAL 16,28023,261 - Facultad Derecho,Avenida Complutense nº 23,4709.366878313905
Colegio Público Rufino Blanco,CALLE GENERAL ALVAREZ DE CASTRO 46,28010,201 - Canal,Calle José Abascal frente al nº 2,162.31477057686138
Colegio Público Sagunto,CALLE PATERNA 14,28021,235 - Embajadores 191,Calle Sodio nº 1B,5388.423471086323
Colegio Público San Benito,CALLE JUAN PEREZ ZUÑIGA 36,28027,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,235.19276318467038
Colegio Público San Carlos,CALLE VILLASTAR 8,28021,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5149.116318072804
Colegio Público San Cristóbal,CALLE BRAVO MURILLO 41,28015,201 - Canal,Calle José Abascal frente al nº 2,156.66842958435183
Colegio Público San Eugenio y San Isidro,CALLE PEÑUELAS 31,28005,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21,183.37352575854388
Colegio Público San Ignacio de Loyola,AVENIDA ABRANTES 1,28025,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1597.5138698483972
Colegio Público San Ildefonso,CALLE ALFONSO VI 1,28005,166 - Segovia 26,Calle Segovia nº 26,178.56268141233585
Colegio Público San Isidoro,CALLE FUENTERRABIA 15,28014,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38,185.39960697388594
Colegio Público San Juan Bautista,CALLE SORZANO 1,28043,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,909.6583470670541
Colegio Público San Juan Bosco,CALLE SANTA IRENE 2,28017,233 - Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,494.7930942258242
Colegio Público San Juan de la Cruz,CALLE HONDURAS 10,28016,254 - Pío XII,Avenida Pío XII nº 3,287.0906962882969
Colegio Público San Miguel,AVENIDA VIRGEN DEL CARMEN 32,28033,254 - Pío XII,Avenida Pío XII nº 3,3183.8962688698193
Colegio Público San Pablo,PLAZA PE&amp;Ntilde;A MORRAZ 1,28038,226 - Sierra Toledana,Camino de Valderribas nº 94,1468.7363969334478
Colegio Público San Roque,CALLE OXIGENO 43,28021,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4697.169830763079
Colegio Público Santa María,CALLE CASINO 7,28005,46 - Ribera de Curtidores,Calle Ribera de Curtidores nº 28,93.44977432360452
Colegio Público Santo Domingo,CALLE SAN FELIU DE GUIXOLS 7,28038,221 - Pavones,Calle Hacienda de Pavones nº 342,1566.8046653605472
Colegio Público Tirso de Molina,CALLE BRONCE 1,28045,235 - Embajadores 191,Calle Sodio nº 1B,413.64906092231536
Colegio Público Tomás Bretón,CALLE ALEJANDRO DUMAS 4,28005,169 - Pirámides,Calle Toledo nº 181,237.27635897694967
Colegio Público Valdebernardo,CALLE TREN DE ARGANDA 9,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,1898.5594070982822
Colegio Público Vasco Núñez de Balboa,CALLE NUESTRA SEÑORA DE VALVERDE 149,28034,217 - Pedro Rico,Calle Pedro Rico nº 4,2051.076001652889
Colegio Público Vicálvaro,CALLE FORGES 15,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,3771.5768718038253
Colegio Público Virgen del Cerro,CALLE MOHERNANDO 1,28038,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,1161.3725289985907
Colegio Público Virgen del Cortijo,AVENIDA MANOTERAS 63,28050,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,2954.9378984865252
